"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Year"
35,"Bojan Bogdanović",30,"UTA","SF",63,63,33.1,6.6,14.8,0.447,3,7.3,0.414,3.6,7.6,0.479,0.548,4,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2,0,2020
36,"Jimmy Butler",30,"MIA","SF",58,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11,0.495,0.474,7.6,9.1,0.834,1.8,4.8,6.7,6,1.8,0.6,2.2,1.4,19.9,1,2020
37,"Nikola Jokić",24,"DEN","C",73,73,32,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7,1.2,0.6,3.1,3,19.9,1,2020
38,"T.J. Warren",26,"IND","SF",67,67,32.9,8,14.9,0.536,1.4,3.4,0.403,6.6,11.5,0.575,0.581,2.5,3,0.819,1,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.8,0,2020
39,"Tobias Harris",27,"PHI","PF",72,72,34.3,7.7,16.3,0.471,1.8,5,0.367,5.9,11.3,0.517,0.527,2.4,3,0.806,1,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6,0,2020
40,"Nikola Vučević",29,"ORL","C",62,62,32.2,8,16.7,0.477,1.6,4.7,0.339,6.4,12,0.531,0.525,2.1,2.7,0.784,2.3,8.6,10.9,3.6,0.9,0.8,1.4,2.2,19.6,0,2020
41,"Julius Randle",25,"NYK","PF",64,64,32.5,7.2,15.7,0.46,1,3.6,0.277,6.2,12.1,0.515,0.492,4,5.5,0.733,2.4,7.4,9.7,3.1,0.8,0.3,3,2.8,19.5,0,2020
42,"Kyle Lowry",33,"TOR","PG",58,58,36.2,5.8,13.8,0.416,2.8,8,0.352,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5,7.5,1.4,0.4,3.1,3.3,19.4,0,2020
43,"Buddy Hield",27,"SAC","SG",72,44,30.8,6.9,16.1,0.429,3.8,9.6,0.394,3.2,6.6,0.479,0.545,1.6,1.9,0.846,0.8,3.8,4.6,3,0.9,0.2,2.3,2.3,19.2,0,2020
44,"Jrue Holiday",29,"NOP","SG",61,61,34.7,7.5,16.5,0.455,2,5.7,0.353,5.5,10.8,0.509,0.516,2.1,3,0.709,1.3,3.5,4.8,6.7,1.6,0.8,3,2.4,19.1,0,2020
